id;source;destination;source_station;destination_station;source_X;source_Y;destination_X;destination_Y
68;M08;03ST;CUM;CUM;740.0;473.0;830.0;482.0
69;M14;02ST;CUM;CUM;740.0;560.0;830.0;560.0
70;M14;01ST;CUM;CUM;740.0;560.0;845.0;624.0
71;M12;04ST;CUM;CUM;777.0;409.0;834.0;418.0
74;M16;05ST;CUM;CUM;757.0;345.0;877.0;290.0
14;M02;M10;KAS;KAS;716.0;537.0;805.0;537.0
15;M02;M04;KAS;KAS;716.0;537.0;715.0;496.0
13;M04;M06;KAS;KAS;715.0;496.0;806.0;496.0
16;M06;M08;KAS;KAS;806.0;496.0;896.0;473.0
17;M06;M10;KAS;KAS;806.0;496.0;805.0;537.0
18;M08;M14;KAS;KAS;896.0;473.0;933.0;409.0
90;M05;05MT-o;CUM;CUM;1361.0;432.0;1496.0;418.0
91;M03;03MT-o;CUM;CUM;1496.0;496.0;1586.0;482.0
93;M01;01MT-o;CUM;CUM;1451.0;537.0;1586.0;560.0
115;M12;04ST;ARI;ARI;628.0;432.0;733.0;418.0
116;M12;03ST;ARI;ARI;628.0;432.0;718.0;482.0
117;M10;02ST;ARI;ARI;628.0;560.0;718.0;560.0
61;M04;M06;CUM;CUM;559.0;496.0;650.0;496.0
62;M02;M04;CUM;CUM;560.0;537.0;559.0;496.0
64;M06;M08;CUM;CUM;650.0;496.0;740.0;473.0
65;M06;M10;CUM;CUM;650.0;496.0;649.0;537.0
66;M10;M14;CUM;CUM;649.0;537.0;740.0;560.0
63;M02;M10;CUM;CUM;560.0;537.0;649.0;537.0
67;M08;M12;CUM;CUM;740.0;473.0;777.0;409.0
72;M12;M16;CUM;CUM;777.0;409.0;757.0;345.0
80;M19;M17;CUM;CUM;1094.0;304.0;1226.0;432.0
81;M17;M05;CUM;CUM;1226.0;432.0;1361.0;432.0
82;M17;M11;CUM;CUM;1226.0;432.0;1225.0;473.0
83;M15;M13;CUM;CUM;1210.0;560.0;1316.0;537.0
84;M13;M09;CUM;CUM;1316.0;537.0;1315.0;496.0
85;M13;M01;CUM;CUM;1316.0;537.0;1451.0;537.0
86;M11;M09;CUM;CUM;1225.0;473.0;1315.0;496.0
87;M09;M07;CUM;CUM;1315.0;496.0;1406.0;473.0
88;M07;M05;CUM;CUM;1406.0;473.0;1361.0;432.0
89;M07;M03;CUM;CUM;1406.0;473.0;1496.0;496.0
92;M03;M01;CUM;CUM;1496.0;496.0;1451.0;537.0
118;M10;01ST;ARI;ARI;628.0;560.0;733.0;624.0
145;M01;01MT-o;ARI;ARI;1698.0;560.0;1804.0;560.0
109;M04;M06;ARI;ARI;447.0;496.0;538.0;496.0
110;M02;M04;ARI;ARI;448.0;537.0;447.0;496.0
111;M02;M08;ARI;ARI;448.0;537.0;537.0;537.0
112;M06;M12;ARI;ARI;538.0;496.0;628.0;432.0
113;M06;M08;ARI;ARI;538.0;496.0;537.0;537.0
114;M08;M10;ARI;ARI;537.0;537.0;628.0;560.0
123;M19;M17;ARI;ARI;918.0;601.0;917.0;560.0
124;M19;M03;ARI;ARI;918.0;601.0;1098.0;601.0
125;M17;M13;ARI;ARI;917.0;560.0;1008.0;537.0
126;M15;M11;ARI;ARI;902.0;432.0;1007.0;496.0
127;M13;M11;ARI;ARI;1008.0;537.0;1007.0;496.0
128;M13;M07;ARI;ARI;1008.0;537.0;1097.0;537.0
157;M02;M04;DEM;DEM;336.0;496.0;335.0;537.0
158;M02;M06;DEM;DEM;336.0;496.0;426.0;432.0
159;M04;M08;DEM;DEM;335.0;537.0;426.0;560.0
168;M07;M03;DEM;DEM;606.0;560.0;712.0;537.0
169;M05;M01;DEM;DEM;606.0;432.0;711.0;496.0
170;M03;M01;DEM;DEM;712.0;537.0;711.0;496.0
160;M06;01ST;DEM;DEM;426.0;432.0;531.0;418.0
161;M06;02ST;DEM;DEM;426.0;432.0;516.0;482.0
162;M08;03ST;DEM;DEM;426.0;560.0;516.0;560.0
163;M08;04ST;DEM;DEM;426.0;560.0;531.0;624.0
171;M03;03MT-o;DEM;DEM;712.0;537.0;802.0;560.0
