ObjectID,X,Y
1,32.75831,39.88306
2,32.7583,39.88307
3,32.75829,39.88311
4,32.7583,39.88313
5,32.75831,39.88316
6,32.75832,39.88319
7,32.75833,39.88321
8,32.75833,39.88325
9,32.75833,39.88327
10,32.75832,39.88329
11,32.75831,39.88329
12,32.75831,39.88331
13,32.75828,39.88331
14,32.75822,39.88332
15,32.75817,39.88332
16,32.75812,39.88332
17,32.75809,39.88331
18,32.75804,39.88332
19,32.758,39.88332
20,32.75797,39.88329
21,32.75794,39.88329
22,32.75795,39.88325
23,32.75793,39.88323
24,32.75791,39.8832
25,32.75787,39.88317
26,32.75782,39.88316
27,32.75776,39.88317
28,32.7577,39.88318
29,32.75766,39.88318
30,32.75761,39.88318
31,32.75756,39.88318
32,32.75751,39.88317
33,32.75747,39.88317
34,32.75744,39.88317
35,32.75743,39.88317
36,32.75741,39.88316
37,32.7574,39.88316
38,32.7574,39.88315
39,32.7574,39.88312
40,32.7574,39.88308
41,32.75741,39.88303
42,32.7574,39.88297
43,32.75738,39.88292
44,32.75735,39.88288
45,32.75732,39.88285
46,32.7573,39.88282
47,32.75728,39.8828
48,32.75726,39.88278
49,32.75726,39.88276
50,32.75725,39.88274
51,32.75726,39.88272
52,32.75726,39.88271
53,32.75726,39.88269
54,32.75726,39.88267
55,32.75726,39.88264
56,32.75728,39.88259
57,32.75733,39.88255
58,32.75737,39.88251
59,32.75742,39.88248
60,32.75746,39.88245
61,32.7575,39.88241
62,32.75755,39.88238
63,32.75759,39.88234
64,32.75762,39.8823
65,32.75765,39.88226
66,32.75765,39.88221
67,32.75765,39.88216
68,32.75764,39.88211
69,32.75761,39.88205
70,32.75757,39.882
71,32.7575,39.88194
72,32.7574,39.88189
73,32.75732,39.88182
74,32.75721,39.88178
75,32.7571,39.88174
76,32.75697,39.88171
77,32.75685,39.88166
78,32.75672,39.8816
79,32.75659,39.88155
80,32.75647,39.88151
81,32.75636,39.88146
82,32.75624,39.88142
83,32.75612,39.88137
84,32.756,39.88133
85,32.75588,39.88129
86,32.75577,39.88124
87,32.75567,39.88121
88,32.75559,39.88117
89,32.75554,39.88115
90,32.75548,39.88113
91,32.75541,39.88111
92,32.75534,39.88108
93,32.75526,39.88106
