"id","source","destination"
68,M08CUM,"03STCUM"
69,M14CUM,"02STCUM"
70,M14CUM,"01STCUM"
71,M12CUM,"04STCUM"
74,M16CUM,"05STCUM"
14,M02KAS,M10KAS
15,M02KAS,M04KAS
13,M04KAS,M06KAS
16,M06KAS,M08KAS
17,M06KAS,M10KAS
18,M08KAS,M14KAS
90,M05CUM,"05MT-oCUM"
91,M03CUM,"03MT-oCUM"
93,M01CUM,"01MT-oCUM"
115,M12ARI,"04STARI"
116,M12ARI,"03STARI"
117,M10ARI,"02STARI"
61,M04CUM,M06CUM
62,M02CUM,M04CUM
64,M06CUM,M08CUM
65,M06CUM,M10CUM
66,M10CUM,M14CUM
63,M02CUM,M10CUM
67,M08CUM,M12CUM
72,M12CUM,M16CUM
80,M19CUM,M17CUM
81,M17CUM,M05CUM
82,M17CUM,M11CUM
83,M15CUM,M13CUM
84,M13CUM,M09CUM
85,M13CUM,M01CUM
86,M11CUM,M09CUM
87,M09CUM,M07CUM
88,M07CUM,M05CUM
89,M07CUM,M03CUM
92,M03CUM,M01CUM
118,M10ARI,"01STARI"
145,M01ARI,"01MT-oARI"
109,M04ARI,M06ARI
110,M02ARI,M04ARI
111,M02ARI,M08ARI
112,M06ARI,M12ARI
113,M06ARI,M08ARI
114,M08ARI,M10ARI
123,M19ARI,M17ARI
124,M19ARI,M03ARI
125,M17ARI,M13ARI
126,M15ARI,M11ARI
127,M13ARI,M11ARI
128,M13ARI,M07ARI
157,M02DEM,M04DEM
158,M02DEM,M06DEM
159,M04DEM,M08DEM
168,M07DEM,M03DEM
169,M05DEM,M01DEM
170,M03DEM,M01DEM
160,M06DEM,"01STDEM"
161,M06DEM,"02STDEM"
162,M08DEM,"03STDEM"
163,M08DEM,"04STDEM"
171,M03DEM,"03MT-oDEM"
172,M01DEM,"01MT-oDEM"
1,"0021BTKAS","0051BTKAS"
11,"04MT-oKAS",M04KAS
73,"06STCUM",M16CUM
38,M09KAS,M05KAS
39,M09KAS,M01KAS
40,M03KAS,M01KAS
43,"03MT-oKAS","0201BTKAS"
20,M14KAS,M16KAS
24,M10KAS,M12KAS
44,"01MT-oKAS","0202BTKAS"
45,"0201BTKAS","0231BTKAS"
19,M08KAS,"03STKAS"
21,M14KAS,"04STKAS"
22,M16KAS,"06STKAS"
27,"06STKAS",M15KAS
28,"05STKAS",M15KAS
23,M16KAS,"05STKAS"
25,M12KAS,"01STKAS"
41,M03KAS,"03MT-oKAS"
26,M12KAS,"02STKAS"
42,M01KAS,"01MT-oKAS"
33,M15KAS,M13KAS
34,M13KAS,M07KAS
35,M07KAS,M05KAS
36,M11KAS,M09KAS
29,"04STKAS",M13KAS
30,"03STKAS",M07KAS
46,"0202BTKAS","0232BTKAS"
47,"0231BTKAS","0261BTKAS"
37,M05KAS,M03KAS
31,"02STKAS",M11KAS
32,"01STKAS",M11KAS
59,"04MT-oCUM",M04CUM
48,"0232BTKAS","0262BTKAS"
49,"0261BTKAS","0291BTCUM"
129,M11ARI,M09ARI
131,M09ARI,M07ARI
132,M07ARI,M05ARI
134,M05ARI,M03ARI
191,M04KAR,M06KAR
192,M02KAR,M04KAR
193,M02KAR,M08KAR
194,M06KAR,M10KAR
195,M06KAR,M08KAR
198,M16KAR,M18KAR
200,M10KAR,M12KAR
203,M12KAR,M14KAR
211,M13KAR,M11KAR
212,M11KAR,M09KAR
213,M09KAR,M07KAR
214,M07KAR,M05KAR
215,M07KAR,M01KAR
216,M05KAR,M03KAR
217,M03KAR,M01KAR
12,"02MT-oKAS",M02KAS
75,"05STCUM",M19CUM
76,"04STCUM",M19CUM
60,"02MT-oCUM",M02CUM
189,"04MT-oKAR",M04KAR
190,"02MT-oKAR",M02KAR
197,"06STKAR",M18KAR
206,"05STKAR",M13KAR
207,"04STKAR",M13KAR
208,"03STKAR",M11KAR
209,"02STKAR",M09KAR
210,"01STKAR",M05KAR
50,"0262BTKAS","0292BTCUM"
57,"0391BTCUM","04MT-oCUM"
58,"0392BTCUM","02MT-oCUM"
130,M09ARI,"09MT-oARI"
133,M05ARI,"05MT-oARI"
135,M03ARI,"03MT-oARI"
196,M08KAR,"06STKAR"
199,M18KAR,"01STKAR"
201,M10KAR,"02STKAR"
202,M12KAR,"05STKAR"
204,M14KAR,"04STKAR"
205,M14KAR,"03STKAR"
