"id","name","station","position","positionX","positionY","length","regionEdge","stationid"
68,"0572BT",ARI,true,224,560,110,,3
64,"0502BT",ARI,true,0,560,110,,3
12,"02MT-o",KAS,true,604,560,110,,1
30,"0232BT",KAS,true,1810,560,110,,1
131,"05ST",KAR,false,954,290,318,,5
102,"02ST",DEM,false,516,482,104,,4
132,"04ST",KAR,false,1018,354,260,,5
24,"01MT",KAS,true,1537,573,0,,1
15,"10MT",KAS,true,850,573,0,,1
84,"0613MT-o",ARI,true,1586,624,110,,3
126,"04MT",KAR,false,485,482,0,,5
128,"10MT",KAR,false,698,483,0,,5
14,"02MT",KAS,true,730,573,0,,1
82,"0612BT",ARI,true,1368,560,110,,3
83,"0613BT",ARI,true,1390,624,110,,3
26,"01MT-o",KAS,true,1586,560,110,,1
28,"0202BT",KAS,true,1698,560,110,,1
46,"10MT",CUM,true,696,573,0,,2
47,"16MT",CUM,false,722,482,0,,2
57,"01MT",CUM,true,1523,573,0,,2
71,"04MT",ARI,false,525,482,0,,3
41,"0392BT",CUM,true,336,560,110,,2
38,"0362BT",CUM,true,224,560,110,,2
36,"0322BT",CUM,true,112,560,110,,2
1,"0021BT",KAS,false,44,482,110,true,1
150,"04MT",DEM,true,376,573,0,,4
149,"02MT",DEM,false,365,482,0,,4
136,"01MT",KAR,false,1530,482,0,,5
3,"0051BT",KAS,false,156,482,110,,1
5,"0081BT",KAS,false,268,482,110,,1
7,"0111BT",KAS,false,380,482,110,,1
9,"0141BT",KAS,false,492,482,110,,1
11,"04MT-o",KAS,false,604,482,110,,1
52,"02ST",CUM,true,830,560,394,,2
23,"11MT",KAS,true,1393,573,0,,1
50,"04ST",CUM,false,834,418,300,,2
87,"01MT",ARI,true,1791,575,0,,3
10,"0142BT",KAS,true,492,560,110,,1
8,"0112BT",KAS,true,380,560,110,,1
6,"0082BT",KAS,true,268,560,110,,1
80,"03MT",ARI,true,1081,637,0,,3
79,"05MT",ARI,false,1083,573,0,,3
78,"09MT",ARI,false,1049,482,0,,3
69,"04MT-o",ARI,false,336,482,110,,3
16,"06ST",KAS,false,1028,290,244,,1
63,"0501BT",ARI,false,0,482,110,,3
124,"04MT-o",KAR,false,336,482,110,,5
140,"1021BT",KAR,false,1698,482,110,,5
138,"01MT-o",KAR,false,1586,482,110,,5
18,"04ST",KAS,false,990,418,320,,1
17,"05ST",KAS,false,1016,354,268,,1
20,"02ST",KAS,true,986,560,328,,1
19,"03ST",KAS,false,986,482,328,,1
21,"01ST",KAS,true,1001,624,298,,1
74,"04ST",ARI,false,733,418,168,,3
