id;source;destination;source_station;destination_station;source_position_X;source_position_Y;destination_position_X;destination_position_Y
1;0021BT;0051BT;KAS;KAS;44;482;156.0;482.0
11;04MT-o;M04;KAS;KAS;604;482;715.0;496.0
73;06ST;M16;CUM;CUM;630;354;757.0;345.0
43;03MT-o;0201BT;KAS;KAS;1586;482;1698.0;482.0
44;01MT-o;0202BT;KAS;KAS;1586;560;1698.0;560.0
45;0201BT;0231BT;KAS;KAS;1698;482;1810.0;482.0
27;06ST;M15;KAS;KAS;1028;290;1273.0;304.0
28;05ST;M15;KAS;KAS;1016;354;1273.0;304.0
29;04ST;M13;KAS;KAS;990;418;1312.0;409.0
30;03ST;M07;KAS;KAS;986;482;1315.0;473.0
46;0202BT;0232BT;KAS;KAS;1698;560;1810.0;560.0
47;0231BT;0261BT;KAS;KAS;1810;482;1922.0;482.0
31;02ST;M11;KAS;KAS;986;560;1300.0;560.0
32;01ST;M11;KAS;KAS;1001;624;1300.0;560.0
59;04MT-o;M04;CUM;CUM;448;482;559.0;496.0
48;0232BT;0262BT;KAS;KAS;1810;560;1922.0;560.0
49;0261BT;0291BT;KAS;CUM;1922;482;0.0;482.0
12;02MT-o;M02;KAS;KAS;604;560;716.0;537.0
75;05ST;M19;CUM;CUM;877;290;1094.0;304.0
76;04ST;M19;CUM;CUM;834;418;1094.0;304.0
60;02MT-o;M02;CUM;CUM;448;560;560.0;537.0
189;04MT-o;M04;KAR;KAR;336;482;447.0;496.0
190;02MT-o;M02;KAR;KAR;336;560;448.0;537.0
197;06ST;M18;KAR;KAR;628;560;930.0;560.0
206;05ST;M13;KAR;KAR;954;290;1273.0;304.0
207;04ST;M13;KAR;KAR;1018;354;1273.0;304.0
208;03ST;M11;KAR;KAR;1003;418;1312.0;409.0
209;02ST;M09;KAR;KAR;898;482;1315.0;473.0
210;01ST;M05;KAR;KAR;1020;560;1405.0;537.0
50;0262BT;0292BT;KAS;CUM;1922;560;0.0;560.0
57;0391BT;04MT-o;CUM;CUM;336;482;448.0;482.0
58;0392BT;02MT-o;CUM;CUM;336;560;448.0;560.0
2;0022BT;0052BT;KAS;KAS;44;560;156.0;560.0
3;0051BT;0081BT;KAS;KAS;156;482;268.0;482.0
4;0052BT;0082BT;KAS;KAS;156;560;268.0;560.0
5;0081BT;0111BT;KAS;KAS;268;482;380.0;482.0
6;0082BT;0112BT;KAS;KAS;268;560;380.0;560.0
7;0111BT;0141BT;KAS;KAS;380;482;492.0;482.0
8;0112BT;0142BT;KAS;KAS;380;560;492.0;560.0
77;03ST;M11;CUM;CUM;830;482;1225.0;473.0
78;02ST;M15;CUM;CUM;830;560;1210.0;560.0
79;01ST;M15;CUM;CUM;845;624;1210.0;560.0
107;04MT-o;M04;ARI;ARI;336;482;447.0;496.0
108;02MT-o;M02;ARI;ARI;336;560;448.0;537.0
119;04ST;M15;ARI;ARI;733;418;902.0;432.0
120;03ST;M15;ARI;ARI;718;482;902.0;432.0
121;02ST;M17;ARI;ARI;718;560;917.0;560.0
122;01ST;M19;ARI;ARI;733;624;918.0;601.0
143;0613MT-o;M01;ARI;ARI;1586;624;1698.0;560.0
